Date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7
20180820,1.51,1.2771,2.0652,1.1412,1.4793,1.2015,-0.5
20180821,1.9422,1.2564,2.0901,0.71,1.4859,1.2135,-0.18
20180822,1.9422,1.296,2.1087,0.42,-1.28,1.2195,-0.18
20180823,1.57,1.275,-3.18,1.1757,-1.66,1.2516,-0.22
20180824,1.8,1.2813,2.0724,1.167,-1.22,-1.74,0.21
20180827,0.94,1.3023,-1.72,1.1706,0.04,-6.23,-0.63
20180828,0.55,-1.62,-5.63,1.1901,1.4775,1.266,-0.14
20180829,0.67,1.3236,-6.11,-2.18,1.4802,-4.295,-0.48
20180830,0.4,-44.99,-5.2,-1.93,1.4685,1.2747,-0.93
20180831,0.79,-2.09,-5.1,-0.82,1.4808,1.2453,-0.29
20180904,0.28,-3.01,-4.83,-0.14,1.491,-4.127,-0.43
20180905,0.63,-1.15,1.9908,-1.55,1.5207,1.1022,0.12
20180906,2.01,-1.13,1.9677,1.1844,1.5198,1.0218,-0.03
20180907,2.0145,1.215,1.9209,1.1493,1.5126,0.9645,-0.59
20180910,1.26,1.2627,1.905,1.1598,1.5312,0.9621,-0.05
20180911,1.24,1.2357,1.8864,1.1799,1.533,0.9867,-0.42
20180912,2.028,1.2393,1.9377,1.2078,0.08,0.9858,-1.5
20180913,2.043,0.42,0.61,1.1847,0.96,1.0089,-1.29
20180914,-69.28,1.2543,-68.47,1.1862,1.5369,-3.5,-38.93
20180917,-69.64,-42.5,-67.16,1.191,-52.23,1.0221,-38.25
20180918,-69.1,-43.49,1.9596,1.2108,1.5435,-33.83,-38.51
20180919,2.0712,-43.05,1.9629,1.2237,-52.51,0.9795,-38.3
20180920,-69.73,-43.39,-68.45,-41.82,-52.76,0.9303,1.1139
